X 140 vars=V0:122,V6:12,V6:148,V7:44,V8:188,V8:340,V9:700,V10:532,V11:260,V11:468 unsat=C0:236,C0:539
X 141 vars=V0:124,V2:12,V4:188,V6:109,V6:310,V7:598,V9:230,V10:118,V10:702,V11:150 unsat=C0:397,C0:653
X 142 vars=V0:124,V2:44,V4:748,V6:62,V6:110,V7:70,V9:6,V10:126,V10:605,V11:150 unsat=C1:189,C1:701
X 143 vars=V0:124,V2:108,V4:612,V6:54,V7:78,V7:598,V8:38,V10:158,V11:181,V11:702 unsat=C2:309,C2:437
X 144 vars=V0:124,V2:116,V4:140,V6:54,V8:430,V9:69,V9:718,V10:70,V11:102,V11:350 unsat=C1:197,C1:325
X 145 vars=V0:124,V2:268,V4:188,V6:270,V6:365,V7:294,V8:206,V8:254,V9:214,V11:150 unsat=C2:461,C2:717
X 146 vars=V0:124,V2:300,V4:492,V7:598,V8:46,V8:230,V9:518,V10:605,V10:678,V11:710 unsat=C2:381,C2:637
X 147 vars=V0:124,V2:572,V4:204,V7:598,V8:301,V8:718,V9:230,V10:142,V10:702,V11:150 unsat=C0:397,C0:653
X 148 vars=V0:124,V2:572,V4:716,V6:54,V6:638,V7:598,V8:45,V8:758,V9:534,V11:678 unsat=C1:77,C1:333
X 149 vars=V0:124,V2:660,V4:644,V6:54,V7:86,V7:269,V8:206,V9:494,V9:742,V10:190 unsat=C0:397,C0:525
X 150 vars=V0:132,V2:20,V4:708,V6:309,V6:662,V7:430,V8:342,V8:646,V9:350,V11:542 unsat=C2:405,C2:661
X 151 vars=V0:132,V2:52,V4:500,V6:246,V6:454,V7:462,V9:142,V10:37,V10:262,V11:542 unsat=C1:133,C1:389
X 152 vars=V0:132,V2:116,V4:364,V6:446,V7:214,V7:734,V8:430,V10:294,V11:125,V11:326 unsat=C2:253,C2:381
X 153 vars=V0:132,V2:308,V4:244,V7:734,V8:438,V8:622,V9:654,V10:37,V10:46,V11:334 unsat=C2:325,C2:581
X 154 vars=V0:132,V2:324,V4:212,V7:734,V8:86,V8:501,V9:622,V10:70,V10:534,V11:542 unsat=C0:85,C0:597
