X 198 vars=V0:32,V2:524,V4:478,V7:586,V9:452,V11:248 unsat=C2:372,C2:444
X 199 vars=V0:33,V1:3,V2:519,V3:15,V4:390,V5:101 unsat=C2:284,C2:392
X 200 vars=V0:33,V1:177,V2:552,V3:263,V4:195,V5:165 unsat=C1:446,C1:554
X 201 vars=V0:33,V1:608,V2:324,V3:618,V4:486,V5:630 unsat=C0:467,C0:575
X 202 vars=V0:33,V2:93,V4:191,V7:335,V9:453,V11:465 unsat=C2:49,C2:121
X 203 vars=V0:33,V2:379,V4:7,V7:379,V9:321,V11:151 unsat=C0:395,C0:467
X 204 vars=V0:33,V2:563,V4:621,V7:393,V9:405,V11:491 unsat=C1:61,C1:637
X 205 vars=V0:34,V1:33,V2:541,V3:295,V4:379,V5:523 unsat=C0:432,C0:540
X 206 vars=V0:34,V1:112,V2:196,V3:340,V4:175,V5:606 unsat=C2:33,C2:141
X 207 vars=V0:34,V1:178,V2:13,V3:444,V4:520,V5:598 unsat=C1:519,C1:627
X 208 vars=V0:34,V2:20,V4:512,V7:236,V9:358,V11:440 unsat=C0:360,C0:432
X 209 vars=V0:34,V2:60,V4:406,V7:178,V9:406,V11:24 unsat=C1:98,C1:170
X 210 vars=V0:34,V2:310,V4:552,V7:84,V9:454,V11:34 unsat=C2:374,C2:446
X 211 vars=V0:35,V1:106,V2:110,V3:620,V4:272,V5:416 unsat=C0:397,C0:505
X 212 vars=V0:35,V1:179,V2:122,V3:625,V4:197,V5:383 unsat=C1:52,C1:592
X 213 vars=V0:35,V1:221,V2:521,V3:17,V4:608,V5:463 unsat=C2:430,C2:538
X 214 vars=V0:35,V2:205,V4:191,V7:611,V9:407,V11:205 unsat=C1:207,C1:279
X 215 vars=V0:35,V2:309,V4:369,V7:93,V9:395,V11:81 unsat=C0:325,C0:397
X 216 vars=V0:35,V2:527,V4:265,V7:481,V9:455,V11:251 unsat=C2:51,C2:123
X 217 vars=V0:36,V1:179,V2:327,V3:297,V4:165,V5:309 unsat=C0:362,C0:470
X 218 vars=V0:36,V1:180,V2:231,V3:158,V4:522,V5:168 unsat=C1:17,C1:125
X 219 vars=V0:36,V1:330,V2:198,V3:342,V4:393,V5:320 unsat=C2:179,C2:287
X 220 vars=V0:36,V2:96,V4:626,V7:230,V9:456,V11:468 unsat=C2:376,C2:448
X 221 vars=V0:36,V2:350,V4:624,V7:396,V9:408,V11:386 unsat=C1:316,C1:388
X 222 vars=V0:36,V2:598,V4:226,V7:598,V9:432,V11:370 unsat=C0:290,C0:362
X 223 vars=V0:37,V1:181,V2:340,V3:339,V4:199,V5:601 unsat=C1:90,C1:198
X 224 vars=V0:37,V1:252,V2:544,V3:622,V4:58,V5:202 unsat=C0:327,C0:435
X 225 vars=V0:37,V1:439,V2:523,V3:19,V4:178,V5:177 unsat=C2:36,C2:576
X 226 vars=V0:37,V2:239,V4:83,V7:455,V9:469,V11:11 unsat=C0:255,C0:327
X 227 vars=V0:37,V2:313,V4:339,V7:627,V9:457,V11:37 unsat=C2:53,C2:125
X 228 vars=V0:37,V2:495,V4:409,V7:181,V9:409,V11:567 unsat=C1:425,C1:497
X 229 vars=V0:38,V1:182,V2:449,V3:520,V4:524,V5:386 unsat=C1:163,C1:271
X 230 vars=V0:38,V1:325,V2:113,V3:299,V4:599,V5:95 unsat=C0:292,C0:400
X 231 vars=V0:38,V1:548,V2:200,V3:344,V4:611,V5:34 unsat=C2:325,C2:433
X 232 vars=V0:38,V2:528,V4:588,V7:312,V9:506,V11:300 unsat=C0:220,C0:292
X 233 vars=V0:38,V2:530,V4:52,V7:376,V9:458,V11:254 unsat=C2:378,C2:450
X 234 vars=V0:38,V2:640,V4:194,V7:614,V9:410,V11:100 unsat=C1:534,C1:606
X 235 vars=V0:39,V1:9,V2:525,V3:21,V4:396,V5:539 unsat=C2:74,C2:182
X 236 vars=V0:39,V1:183,V2:558,V3:53,V4:201,V5:171 unsat=C1:236,C1:344
X 237 vars=V0:39,V1:398,V2:330,V3:624,V4:492,V5:636 unsat=C0:257,C0:365
X 238 vars=V0:39,V2:99,V4:413,V7:125,V9:459,V11:471 unsat=C2:55,C2:127
X 239 vars=V0:39,V2:137,V4:627,V7:399,V9:411,V11:281 unsat=C1:67,C1:643
X 240 vars=V0:39,V2:169,V4:445,V7:169,V9:543,V11:589 unsat=C0:185,C0:257
X 241 vars=V0:40,V1:118,V2:202,V3:346,V4:181,V5:396 unsat=C2:471,C2:579
X 242 vars=V0:40,V1:184,V2:19,V3:234,V4:526,V5:604 unsat=C1:309,C1:417
